,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,200,pub.1056991985,10.1051/jphys:01988004902030700,,,A synchrotron X-ray study of competing undulation and electrostatic interlayer interactions in fluid multimembrane lyotropic phases,Journal de Physique,,,1988,1988,49,2,307-318,Closed,Article,"Roux, D.; Safinya, C.R.",,"Roux, D. (); Safinya, C.R. ()",192,11,,,,https://app.dimensions.ai/details/publication/pub.1056991985,,,,,,
234,100,pub.1067912357,10.1557/proc-143-9,,,Fluctuating Interfaces: a Series of Synchrotron X-Ray Scattering Studies of Interacting Stacked Membranes,MRS Advances,,,1988,1988,143,,9,Closed,Article,"Safinya, C. R.",,"Safinya, C. R. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1067912357,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
235,300,pub.1060796018,10.1103/physrevlett.59.2658,10035615,,"""Chevron"" Local Layer Structure in Surface-Stabilized Ferroelectric Smectic-C Cells",Physical Review Letters,,,1987-12,1987,59,23,2658-2661,Closed,Article,"Rieker, T. P.; Clark, N. A.; Smith, G. S.; Parmar, D. S.; Sirota, E. B.; Safinya, C. R.",,"Rieker, T. P. (University of Colorado Boulder); Clark, N. A. (University of Colorado Boulder); Smith, G. S. (University of Colorado Boulder; ExxonMobil (United States)); Parmar, D. S. (University of Colorado Boulder); Sirota, E. B. (ExxonMobil (United States)); Safinya, C. R. (ExxonMobil (United States))",439,12,6.01,,,https://app.dimensions.ai/details/publication/pub.1060796018,02 Physical Sciences,02 Physical Sciences,,,,
236,300,pub.1060795214,10.1103/physrevlett.58.2802,10034853,,Antiferromagnetism in La2CuO4-y,Physical Review Letters,,,1987-06,1987,58,26,2802-2805,Closed,Article,"Vaknin, D.; Sinha, S. K.; Moncton, D. E.; Johnston, D. C.; Newsam, J. M.; Safinya, C. R.; King, H. E.",,"Vaknin, D. (ExxonMobil (United States)); Sinha, S. K. (ExxonMobil (United States)); Moncton, D. E. (ExxonMobil (United States)); Johnston, D. C. (ExxonMobil (United States)); Newsam, J. M. (ExxonMobil (United States)); Safinya, C. R. (ExxonMobil (United States)); King, H. E. (ExxonMobil (United States))",1012,19,20.25,,,https://app.dimensions.ai/details/publication/pub.1060795214,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
237,300,pub.1060475640,10.1103/physreva.35.1868,9898352,,Incommensurate smectic order at the free surface in the nematic phase of 4-n-heptylphenyl-4’-(4’’-nitrobenzoyloxy)benzoate (DB7NO2),Physical Review A,,,1987-02,1987,35,4,1868-1872,"All OA; Green, Accepted & Submitted",Article,"Ocko, B. M.; Pershan, P. S.; Safinya, C. R.; Chiang, L. Y.",,"Ocko, B. M. (Harvard University); Pershan, P. S. (Harvard University); Safinya, C. R. (ExxonMobil (United States)); Chiang, L. Y. (ExxonMobil (United States))",14,0,0.39,,https://dash.harvard.edu/bitstream/1/10357480/1/Ocko_Incommensurate.pdf,https://app.dimensions.ai/details/publication/pub.1060475640,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
238,100,pub.1025467533,10.1080/15421408708084218,,,X-Ray Study Of Freely Suspended Films Of A Multilamellar Lipid System,Molecular Crystals and Liquid Crystals,,,1987-01,1987,144,5,235-255,Closed,Article,"Smith, G. S.; Safinya, C. R.; Roux, D.; Clark, N. A.",,"Smith, G. S. (University of Colorado Boulder); Safinya, C. R. (ExxonMobil (United States)); Roux, D. (); Clark, N. A. (University of Colorado Boulder)",56,2,,,,https://app.dimensions.ai/details/publication/pub.1025467533,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
239,100,pub.1026957764,10.1007/978-3-642-83202-4_19,,,Interactions in Lyotropic Lamellar Phases: A High Resolution X-Ray Study,Springer Proceedings in Physics,Physics of Amphiphilic Layers,,1987,1987,21,,138-144,Closed,Chapter,"Roux, D.; Safinya, C. R.",,"Roux, D. (University of California Los Angeles); Safinya, C. R. (ExxonMobil (United States))",3,0,,,,https://app.dimensions.ai/details/publication/pub.1026957764,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
240,100,pub.1014875523,10.1007/978-1-4757-0184-5_25,,,The Nematic and Smectic-A1 Phases in DB7NO2: High Resolution X-Ray Study and Synthesis,NATO ASI Series,"Incommensurate Crystals, Liquid Crystals, and Quasi-Crystals",,1987,1987,166,,271-281,Closed,Chapter,"Safinya, C. R.; Chiang, L. Y.",,"Safinya, C. R. (ExxonMobil (United States)); Chiang, L. Y. (ExxonMobil (United States))",2,0,,,,https://app.dimensions.ai/details/publication/pub.1014875523,0305 Organic Chemistry; 03 Chemical Sciences,0305 Organic Chemistry,03 Chemical Sciences,,,
241,300,pub.1060794206,10.1103/physrevlett.57.2718,10033843,,Steric Interactions in a Model Multimembrane System: A Synchrotron X-Ray Study,Physical Review Letters,,,1986-11,1986,57,21,2718-2721,Closed,Article,"Safinya, C. R.; Roux, D.; Smith, G. S.; Sinha, S. K.; Dimon, P.; Clark, N. A.; Bellocq, A. M.",,"Safinya, C. R. (ExxonMobil (United States)); Roux, D. (ExxonMobil (United States); Délégation Aquitaine); Smith, G. S. (ExxonMobil (United States); University of Colorado System); Sinha, S. K. (ExxonMobil (United States)); Dimon, P. (ExxonMobil (United States)); Clark, N. A. (University of Colorado System); Bellocq, A. M. (Délégation Aquitaine)",339,5,7.25,,,https://app.dimensions.ai/details/publication/pub.1060794206,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
242,200,pub.1060793721,10.1103/physrevlett.57.1193.3,,,Structure of Aggregated Gold Colloids,Physical Review Letters,,,1986-09,1986,57,9,1193-1193,Closed,Article,"Dimon, P.; Sinha, S. K.; Weitz, D. A.; Safinya, C. R.; Smith, G. S.; Varady, W. A.; Lindsay, H. M.",,"Dimon, P. (); Sinha, S. K. (); Weitz, D. A. (); Safinya, C. R. (); Smith, G. S. (); Varady, W. A. (); Lindsay, H. M. ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1060793721,02 Physical Sciences,02 Physical Sciences,,,,
243,300,pub.1060794488,10.1103/physrevlett.57.595,10034102,,Structure of Aggregated Gold Colloids,Physical Review Letters,,,1986-08,1986,57,5,595-598,Closed,Article,"Dimon, P.; Sinha, S. K.; Weitz, D. A.; Safinya, C. R.; Smith, G. S.; Varady, W. A.; Lindsay, H. M.",,"Dimon, P. (ExxonMobil (United States)); Sinha, S. K. (ExxonMobil (United States)); Weitz, D. A. (ExxonMobil (United States)); Safinya, C. R. (ExxonMobil (United States)); Smith, G. S. (ExxonMobil (United States)); Varady, W. A. (ExxonMobil (United States)); Lindsay, H. M. (ExxonMobil (United States))",164,2,3.4,,,https://app.dimensions.ai/details/publication/pub.1060794488,02 Physical Sciences,02 Physical Sciences,,,,
244,300,pub.1060794437,10.1103/physrevlett.57.432,10034058,,X-Ray Study of the Nematic Phase and Smectic-A1-to-Smectic-Ã Phase Transition in Heptylphenyl Nitrobenzoloxybenzoate (DB7NO2),Physical Review Letters,,,1986-07,1986,57,4,432-435,Closed,Article,"Safinya, C. R.; Varady, William A.; Chiang, L. Y.; Dimon, P.",,"Safinya, C. R. (ExxonMobil (United States)); Varady, William A. (ExxonMobil (United States)); Chiang, L. Y. (ExxonMobil (United States)); Dimon, P. (ExxonMobil (United States))",25,1,1.05,,,https://app.dimensions.ai/details/publication/pub.1060794437,02 Physical Sciences,02 Physical Sciences,,,,
245,100,pub.1052802245,10.1080/00268948508080107,,,Charge Transfer Salts of Highly Oriented Fibers of Discotic Liquid Crystal HET-n,Molecular Crystals and Liquid Crystals,,,1985-04,1985,125,1,279-288,Closed,Article,"Chiang, Long Y.; Stokes, James P.; Safinya, Cyrus R.; Bloch, Aaron N.",,"Chiang, Long Y. (ExxonMobil (United States)); Stokes, James P. (ExxonMobil (United States)); Safinya, Cyrus R. (ExxonMobil (United States)); Bloch, Aaron N. (ExxonMobil (United States))",31,0,,,,https://app.dimensions.ai/details/publication/pub.1052802245,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
246,100,pub.1013947985,10.1080/00268948508075768,,,High-Pressure Conductivity And Structure Of Hmtsf-TCNQ,Molecular Crystals and Liquid Crystals,,,1985-03,1985,120,1,101-104,Closed,Article,"King, H. E.; Tozer, S. W.; Safinya, C. R.; Stokes, J. P.; Weitz, D. A.; Bloch, A. N.; Cowan, D. O.",,"King, H. E. (); Tozer, S. W. (Johns Hopkins University); Safinya, C. R. (); Stokes, J. P. (); Weitz, D. A. (); Bloch, A. N. (); Cowan, D. O. (Johns Hopkins University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1013947985,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
247,100,pub.1040020896,10.1080/00268948508074778,,,Synchrotron X-ray Scattering Study of Freely Suspended Discotic Strands,Molecular Crystals and Liquid Crystals,,,1985-02,1985,123,1,205-216,Closed,Article,"Safinya, C. R.; Clark, Noel A.; Liang, K. S.; Varady, William A.; Chiang, L. Y.",,"Safinya, C. R. (); Clark, Noel A. (University of Colorado System); Liang, K. S. (); Varady, William A. (); Chiang, L. Y. ()",22,0,,,,https://app.dimensions.ai/details/publication/pub.1040020896,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
248,100,pub.1018887355,10.1039/c39850000695,,,Highly oriented fibres of discotic liquid crystals,Chemical Communications,,,1985,1985,0,11,695-696,Closed,Article,"Chiang, Long Y.; Safinya, C. R.; Clark, N. A.; Liang, K. S.; Bloch, A. N.",,"Chiang, Long Y. (); Safinya, C. R. (); Clark, N. A. (); Liang, K. S. (); Bloch, A. N. ()",19,0,,,,https://app.dimensions.ai/details/publication/pub.1018887355,03 Chemical Sciences,03 Chemical Sciences,,,,
249,100,pub.1060790402,10.1103/physrevlett.53.1172,,,Synchrotron X-Ray Study of the Orientational Ordering D 2-D 1 Structural Phase Transition of Freely Suspended Discotic Strands in Triphenylene Hexa-n-dodecanoate,Physical Review Letters,,,1984-09,1984,53,12,1172-1175,Closed,Article,"Safinya, C. R.; Liang, K. S.; Varady, William A.; Clark, Noel A.; Andersson, G.",,"Safinya, C. R. (); Liang, K. S. (); Varady, William A. (); Clark, Noel A. (); Andersson, G. ()",69,2,,,,https://app.dimensions.ai/details/publication/pub.1060790402,02 Physical Sciences,02 Physical Sciences,,,,
250,100,pub.1060471068,10.1103/physreva.27.3234,,,Critical behavior at the nematic-smectic-A transition in butyloxybenzylidene heptylaniline (4O.7),Physical Review A,,,1983-06,1983,27,6,3234-3240,Closed,Article,"Garland, C. W.; Meichle, M.; Ocko, B. M.; Kortan, A. R.; Safinya, C. R.; Yu, L. J.; Litster, J. D.; Birgeneau, R. J.",,"Garland, C. W. (Massachusetts Institute of Technology); Meichle, M. (Massachusetts Institute of Technology); Ocko, B. M. (Massachusetts Institute of Technology); Kortan, A. R. (Massachusetts Institute of Technology); Safinya, C. R. (Massachusetts Institute of Technology); Yu, L. J. (Massachusetts Institute of Technology); Litster, J. D. (Massachusetts Institute of Technology); Birgeneau, R. J. (Massachusetts Institute of Technology)",100,1,,,,https://app.dimensions.ai/details/publication/pub.1060471068,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
251,100,pub.1060788789,10.1103/physrevlett.50.56,,,High-Resolution X-Ray Scattering Study of the Nematic-to-Smectic-C Transitions in 8¯S5-7¯S5 Mixtures,Physical Review Letters,,,1983-01,1983,50,1,56-59,Closed,Article,"Safinya, C. R.; Martínez-Miranda, L. J.; Kaplan, M.; Litster, J. D.; Birgeneau, R. J.",,"Safinya, C. R. (Massachusetts Institute of Technology); Martínez-Miranda, L. J. (Massachusetts Institute of Technology); Kaplan, M. (Massachusetts Institute of Technology); Litster, J. D. (Massachusetts Institute of Technology); Birgeneau, R. J. (Massachusetts Institute of Technology)",39,0,,,,https://app.dimensions.ai/details/publication/pub.1060788789,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
252,100,pub.1060786834,10.1103/physrevlett.47.668,,,Critical Fluctuations near a Nematic-Smectic-A-Smectic-C Multicritical Point,Physical Review Letters,,,1981-08,1981,47,9,668-671,Closed,Article,"Safinya, C. R.; Birgeneau, R. J.; Litster, J. D.; Neubert, M. E.",,"Safinya, C. R. (); Birgeneau, R. J. (); Litster, J. D. (); Neubert, M. E. ()",56,0,,,,https://app.dimensions.ai/details/publication/pub.1060786834,02 Physical Sciences,02 Physical Sciences,,,,
253,100,pub.1060785536,10.1103/physrevlett.45.1974,,,Competing Order Parameters in Quenched Random Alloys: Fe1-xCoxCl2,Physical Review Letters,,,1980-12,1980,45,24,1974-1977,Closed,Article,"Wong, Po-zen; Horn, P. M.; Birgeneau, R. J.; Safinya, C. R.; Shirane, G.",,"Wong, Po-zen (); Horn, P. M. (); Birgeneau, R. J. (); Safinya, C. R. (); Shirane, G. ()",98,0,,,,https://app.dimensions.ai/details/publication/pub.1060785536,02 Physical Sciences,02 Physical Sciences,,,,
254,100,pub.1060527837,10.1103/physrevb.22.312,,,Observation of algebraic decay of positional order in a smectic liquid crystal,Physical Review B,,,1980-07,1980,22,1,312-320,"All OA; Green, Accepted & Submitted",Article,"Als-Nielsen, J.; Litster, J. D.; Birgeneau, R. J.; Kaplan, M.; Safinya, C. R.; Lindegaard-Andersen, A.; Mathiesen, S.",,"Als-Nielsen, J. (Technical University of Denmark); Litster, J. D. (Technical University of Denmark); Birgeneau, R. J. (Massachusetts Institute of Technology); Kaplan, M. (Massachusetts Institute of Technology); Safinya, C. R. (Massachusetts Institute of Technology); Lindegaard-Andersen, A. (Technical University of Denmark); Mathiesen, S. (Technical University of Denmark)",204,2,,,http://orbit.dtu.dk/ws/files/9570490/Litster.pdf,https://app.dimensions.ai/details/publication/pub.1060527837,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
255,100,pub.1060527287,10.1103/physrevb.21.4149,,,High-resolution x-ray study of a smectic-A—smectic-C phase transition,Physical Review B,,,1980-05,1980,21,9,4149-4153,"All OA; Green, Accepted & Submitted",Article,"Safinya, C. R.; Kaplan, M.; Als-Nielsen, J.; Birgeneau, R. J.; Davidov, D.; Litster, J. D.; Johnson, D. L.; Neubert, M. E.",,"Safinya, C. R. (Massachusetts Institute of Technology); Kaplan, M. (Massachusetts Institute of Technology); Als-Nielsen, J. (Massachusetts Institute of Technology); Birgeneau, R. J. (Massachusetts Institute of Technology); Davidov, D. (Massachusetts Institute of Technology); Litster, J. D. (Massachusetts Institute of Technology); Johnson, D. L. (Kent State University); Neubert, M. E. (Kent State University)",112,1,,,http://orbit.dtu.dk/en/publications/highresolution-xray-study-of-a-smecticasmecticc-phase-transition(0b0c7642-d292-4bb3-974a-fe89af33e354).html,https://app.dimensions.ai/details/publication/pub.1060527287,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
256,100,pub.1033349328,10.1007/978-1-4684-3626-6_5,,,Lower Marginal Dimensionality. X-Ray Scattering from the Smectic-A Phase of Iquid Crystals,,Ordering in Strongly Fluctuating Condensed Matter Systems,,1980,1980,,,57-75,Closed,Chapter,"Als-Nielsen, Jens; Litster, J. D.; Birgeneau, R. J.; Kaplan, M.; Safinya, C. R.",,"Als-Nielsen, Jens (Technical University of Denmark); Litster, J. D. (Massachusetts Institute of Technology); Birgeneau, R. J. (Massachusetts Institute of Technology); Kaplan, M. (Massachusetts Institute of Technology); Safinya, C. R. (Massachusetts Institute of Technology)",5,1,,,,https://app.dimensions.ai/details/publication/pub.1033349328,11 Medical and Health Sciences; 1103 Clinical Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,,,
257,100,pub.1001734109,10.1007/978-1-4684-3626-6_26,,,Order and Fluctuations in Smectic Liquid Crystals,,Ordering in Strongly Fluctuating Condensed Matter Systems,,1980,1980,,,357-382,Closed,Chapter,"Litster, J. D.; Birgeneau, R. J.; Kaplan, M.; Safinya, C. R.; Als-Nielsen, J.",,"Litster, J. D. (Massachusetts Institute of Technology); Birgeneau, R. J. (Massachusetts Institute of Technology); Kaplan, M. (Massachusetts Institute of Technology); Safinya, C. R. (Massachusetts Institute of Technology); Als-Nielsen, J. (Technical University of Denmark)",10,0,,,,https://app.dimensions.ai/details/publication/pub.1001734109,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
258,200,pub.1056998082,10.1051/jphyscol:1979366,,,HIGH RESOLUTION X-RAY AND LIGHT SCATTERING STUDIES OF BILAYER SMECTIC A COMPOUNDS,Journal de Physique Archives,,,1979-04,1979,40,C3,c3-339-c3-344,"All OA; Green, Accepted & Submitted",Article,"LITSTER, J. D.; ALS-NIELSEN, J.; BIRGENEAU, R. J.; DANA, S. S.; DAVIDOV, D.; GARCIA-GOLDING, F.; KAPLAN, M.; SAFINYA, C. R.; SCHAETZING, R.",,"LITSTER, J. D. (); ALS-NIELSEN, J. (); BIRGENEAU, R. J. (); DANA, S. S. (); DAVIDOV, D. (); GARCIA-GOLDING, F. (); KAPLAN, M. (); SAFINYA, C. R. (); SCHAETZING, R. ()",70,0,,,http://orbit.dtu.dk/en/publications/high-resolution-xray-and-light-scattering-studies-of-bilayer-smectic-a-compounds(63f07359-d3b2-4700-ab7d-dcfff76464a1).html,https://app.dimensions.ai/details/publication/pub.1056998082,,,,,,
